file,success,failure,forbidden error,not_foundmoved_permanently,moved_permanently,found,not_modified
"""GET / HTTP/1.1"" 403 4890 ""-""",0,1,1,0,0,0,0
,,,,,,,
"""GET /icons/apache_pb2.gif HTTP/1.1"" 200 4234 ""http://13.233.58.202/""",1,0,0,0,0,0,0
,,,,,,,
"""GET /icons/poweredby.png HTTP/1.1"" 200 3412 ""http://13.233.58.202/""",1,0,0,0,0,0,0
,,,,,,,
"""GET /favicon.ico HTTP/1.1"" 404 209 ""-""",0,1,0,1,0,0,0
,,,,,,,
"""GET /favicon.ico HTTP/1.1"" 404 209 ""-""",0,1,0,1,0,0,0
,,,,,,,
"""GET /info.php HTTP/1.1"" 404 206 ""-""",0,1,0,1,0,0,0
,,,,,,,
"""GET /phpinfo.php HTTP/1.1"" 200 83856 ""-""",1,0,0,0,0,0,0
,,,,,,,
"""GET /phpMyAdmin HTTP/1.1"" 301 240 ""-""",0,1,0,0,1,0,0
,,,,,,,
"""GET /phpMyAdmin/ HTTP/1.1"" 200 3446 ""-""",1,0,0,0,0,0,0
,,,,,,,
"""GET /phpMyAdmin/themes/pmahomme/jquery/jquery-ui.css HTTP/1.1"" 200 36566 ""-""",1,0,0,0,0,0,0
,,,,,,,
"""GET /phpMyAdmin/js/vendor/codemirror/lib/codemirror.css?v=4.8.3 HTTP/1.1"" 200 8542 ""-""",1,0,0,0,0,0,0
,,,,,,,
"""GET /phpMyAdmin/js/vendor/codemirror/addon/hint/show-hint.css?v=4.8.3 HTTP/1.1"" 200 623 ""-""",1,0,0,0,0,0,0
,,,,,,,
"""GET /phpMyAdmin/js/vendor/codemirror/addon/lint/lint.css?v=4.8.3 HTTP/1.1"" 200 2999 ""-""",1,0,0,0,0,0,0
,,,,,,,
"""GET /phpMyAdmin/themes/pmahomme/css/printview.css?v=4.8.3 HTTP/1.1"" 200 2746 ""-""",1,0,0,0,0,0,0
,,,,,,,
"""GET /phpMyAdmin/js/vendor/jquery/jquery.min.js?v=4.8.3 HTTP/1.1"" 200 86927 ""-""",1,0,0,0,0,0,0
,,,,,,,
"""GET /phpMyAdmin/js/vendor/jquery/jquery-migrate.js?v=4.8.3 HTTP/1.1"" 200 17813 ""-""",1,0,0,0,0,0,0
,,,,,,,
"""GET /phpMyAdmin/phpmyadmin.css.php?nocache=3069890315ltr&server=1 HTTP/1.1"" 200 20700 ""-""",1,0,0,0,0,0,0
,,,,,,,
"""GET /phpMyAdmin/js/whitelist.php?v=4.8.3&lang=en HTTP/1.1"" 200 57 ""-""",1,0,0,0,0,0,0
,,,,,,,
